ISIN,Ticker,Name,Mkt Cap,% Women on Bd,UN Glob Comp Sign,GHG Scp 1 Est,ESG Scr,GICS Ind Name,GICS Sector,Curncy
US43300A2033,HLT UN,HILTON WORLDWIDE HOLDINGS IN,49619976336,44.44440079,,488.266,6.28000021,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
PA1436583006,CCL UN,CARNIVAL CORP,18603159793,36.36360168,N,12781.764,5.769999981,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
US74736K1016,QRVO UW,QORVO INC,10458128971,22.22220039,,159.685,4.900000095,Semiconductors & Semiconductor,Information Technology,USD
US12008R1077,BLDR UN,BUILDERS FIRSTSOURCE INC,22830838932,,,185.672,3.680000067,Building Products,Industrials,USD
US9026531049,UDR UN,UDR INC,12323499150,30,N,15.451,6.289999962,Residential REITs,Real Estate,USD
US1890541097,CLX UN,CLOROX COMPANY,18057471452,50,,67.815,5.960000038,Household Products,Consumer Staples,USD
US70432V1026,PAYC UN,PAYCOM SOFTWARE INC,10975825524,28.57139969,N,0.399,3.329999924,Professional Services,Industrials,USD
US1258961002,CMS UN,CMS ENERGY CORP,17485390570,33.33330154,,18618.308,5.409999847,Multi-Utilities,Utilities,USD
US1941621039,CL UN,COLGATE-PALMOLIVE CO,73008819702,40,,218.187,5.570000172,Household Products,Consumer Staples,USD
US29414B1044,EPAM UN,EPAM SYSTEMS INC,14440256968,,Y,0.379,3.150000095,IT Services,Information Technology,USD
US2003401070,CMA UN,COMERICA INC,6965525000,,,6.96,4.929999828,Banks,Financials,USD
US2058871029,CAG UN,CONAGRA BRANDS INC,14915557769,40,,410.594,5.070000172,Food Products,Consumer Staples,USD
US0090661010,ABNB UW,AIRBNB INC-CLASS A,1.03805E+11,22.22220039,,1.736,2.609999895,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
US2091151041,ED UN,CONSOLIDATED EDISON INC,32053748754,36.36360168,,2646.536,4.510000229,Multi-Utilities,Utilities,USD
US2193501051,GLW UN,CORNING INC,27012031003,21.42860031,,728.4,2.710000038,"Electronic Equipment, Instrume",Information Technology,USD
US2310211063,CMI UN,CUMMINS INC,41484616337,33.33330154,,320.578,4.789999962,Machinery,Industrials,USD
US12769G1004,CZR UW,CAESARS ENTERTAINMENT INC,8488684395,,,262.153,6.559999943,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
US2358511028,DHR UN,DANAHER CORP,1.87468E+11,28.57139969,,127,4.480000019,Life Sciences Tools & Services,Health Care,USD
US87612E1064,TGT UN,TARGET CORP,76742146041,,,912.512,4.889999866,Consumer Staples Distribution,Consumer Staples,USD
US2441991054,DE UN,DEERE & CO,1.1089E+11,33.33330154,,451.453,5.53000021,Machinery,Industrials,USD
US25746U1097,D UN,DOMINION ENERGY INC,42390597166,30.76919937,,35873.083,5.710000038,Multi-Utilities,Utilities,USD
US2600031080,DOV UN,DOVER CORP,23738642611,30,,56.232,4.789999962,Machinery,Industrials,USD
US0188021085,LNT UW,ALLIANT ENERGY CORP,12633427409,33.33330154,,12837.121,4.900000095,Electric Utilities,Utilities,USD
US8581191009,STLD UW,STEEL DYNAMICS INC,21424823409,27.27269936,,2296.288,6.429999828,Metals & Mining,Materials,USD
US26441C2044,DUK UN,DUKE ENERGY CORP,75658230000,35.71429825,,74879.669,5.449999809,Electric Utilities,Utilities,USD
US7588491032,REG UW,REGENCY CENTERS CORP,11439754122,36.36360168,,2.161,5.769999981,Retail REITs,Real Estate,USD
IE00B8KQN827,ETN UN,EATON CORP PLC,1.25274E+11,30,,227.913,7.949999809,Electrical Equipment,Industrials,USD
US2788651006,ECL UN,ECOLAB INC,62803444198,41.66669846,Y,319.142,6.130000114,Chemicals,Materials,USD
US7140461093,RVTY UN,REVVITY INC,12740350038,33.33330154,,7.063,4.429999828,Life Sciences Tools & Services,Health Care,USD
US2910111044,EMR UN,EMERSON ELECTRIC CO,62898434000,30.76919937,,144.571,6.300000191,Electrical Equipment,Industrials,USD
US26875P1012,EOG UN,EOG RESOURCES INC,78346652870,33.33330154,,5228.144,5.110000134,"Oil, Gas & Consumable Fuels",Energy,USD
IE00BLP1HW54,AON UN,AON PLC-CLASS A,61948212414,,,5.847,3.700000048,Insurance,Financials,USD
US29364G1031,ETR UN,ENTERGY CORP,22853250702,33.33330154,,37371.422,5.579999924,Electric Utilities,Utilities,USD
US2944291051,EFX UN,EQUIFAX INC,27807600298,33.33330154,,1.216,2.75,Professional Services,Industrials,USD
US26884L1098,EQT UN,EQT CORP,16813503212,54.54550171,,974.222,7.019999981,"Oil, Gas & Consumable Fuels",Energy,USD
